code_insee,nom_commune,code_postal,epci_code,epci_nom,dep_code,dep_nom,reg_code,reg_nom
44001,Abbaretz,44170,244400537,CC de Nozay,44,Loire-Atlantique,52,Pays de la Loire
44002,Aigrefeuille-sur-Maine,44140,200067635,CA Clisson Sèvre et Maine Agglo,44,Loire-Atlantique,52,Pays de la Loire
44003,Ancenis-Saint-Géréon,44150,244400552,CC du Pays d'Ancenis,44,Loire-Atlantique,52,Pays de la Loire
44005,Chaumes-en-Retz,44320,200067346,CA Pornic Agglo Pays de Retz,44,Loire-Atlantique,52,Pays de la Loire
44006,Assérac,44410,244400610,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),44,Loire-Atlantique,52,Pays de la Loire
44007,Avessac,44460,243500741,CA Redon Agglomération,44,Loire-Atlantique,52,Pays de la Loire
44009,Basse-Goulaine,44115,244400404,Nantes Métropole,44,Loire-Atlantique,52,Pays de la Loire
44010,Batz-sur-Mer,44740,244400610,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),44,Loire-Atlantique,52,Pays de la Loire
44012,La Bernerie-en-Retz,44760,200067346,CA Pornic Agglo Pays de Retz,44,Loire-Atlantique,52,Pays de la Loire
44013,Besné,44160,244400644,CA de la Région Nazairienne et de l'Estuaire (CARENE),44,Loire-Atlantique,52,Pays de la Loire
44014,Le Bignon,44140,244400438,CC Grand Lieu Communauté,44,Loire-Atlantique,52,Pays de la Loire
44015,Blain,44130,244400453,CC Pays de Blain Communauté,44,Loire-Atlantique,52,Pays de la Loire
44016,La Boissière-du-Doré,44430,200067866,CC Sèvre et Loire,44,Loire-Atlantique,52,Pays de la Loire
44018,Bouaye,44830,244400404,Nantes Métropole,44,Loire-Atlantique,52,Pays de la Loire
44019,Bouée,44260,200072734,CC Estuaire et Sillon,44,Loire-Atlantique,52,Pays de la Loire
44020,Bouguenais,44340,244400404,Nantes Métropole,44,Loire-Atlantique,52,Pays de la Loire
44021,Villeneuve-en-Retz,44580,200067346,CA Pornic Agglo Pays de Retz,44,Loire-Atlantique,52,Pays de la Loire
44022,Boussay,44190,200067635,CA Clisson Sèvre et Maine Agglo,44,Loire-Atlantique,52,Pays de la Loire
