id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_insee,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2025-563764,2025-01-06,Vente,175000.0,44099,Maison,98.0,5,945.0,-1.37258,47.624643
2025-563765,2025-01-03,Vente,115000.0,44109,Appartement,43.0,3,,-1.538267,47.232243
2025-563765,2025-01-03,Vente,115000.0,44109,Dépendance,,0,,-1.538267,47.232243
2025-563766,2025-01-06,Vente,465000.0,44109,Maison,100.0,5,87.0,-1.573305,47.228224
2025-563767,2025-01-07,Vente,197000.0,44109,Dépendance,,0,,-1.50999,47.238007
2025-563767,2025-01-07,Vente,197000.0,44109,Appartement,64.0,3,,-1.50999,47.238007
2025-563768,2025-01-03,Vente,2300.0,44142,,,,1738.0,-1.351141,47.040914
2025-563769,2025-01-06,Vente,131000.0,44071,,,,550.0,-1.421897,47.188671
2025-563769,2025-01-06,Vente,131000.0,44071,,,,126.0,-1.42214,47.188853
2025-563769,2025-01-06,Vente,131000.0,44071,,,,47.0,-1.422017,47.18874
2025-563770,2025-01-03,Vente,165000.0,44109,Dépendance,,0,,-1.521812,47.271965
2025-563770,2025-01-03,Vente,165000.0,44109,Appartement,62.0,3,,-1.521812,47.271965
2025-563771,2025-01-03,Vente,114000.0,44109,Dépendance,,0,,-1.553046,47.205101
2025-563771,2025-01-03,Vente,114000.0,44109,Dépendance,,0,,-1.553046,47.205101
2025-563771,2025-01-03,Vente,114000.0,44109,Appartement,35.0,1,,-1.553046,47.205101
2025-563772,2025-01-03,Vente,110000.0,44143,Appartement,62.0,3,,-1.556389,47.183942
2025-563772,2025-01-03,Vente,110000.0,44143,Dépendance,,0,,-1.556389,47.183942
2025-563773,2025-01-07,Vente,6500.0,44146,,,,5050.0,-1.47192,47.799957
2025-563773,2025-01-07,Vente,6500.0,44146,,,,2375.0,-1.472269,47.800272
2025-563773,2025-01-07,Vente,6500.0,44146,,,,2625.0,-1.471082,47.800217
2025-563774,2025-01-09,Vente,110508.0,44109,Appartement,30.0,1,,-1.568697,47.250679
